latitude,longitude,shock
51.1080366,17.0231283,4856
51.1080683,17.0229350,1663
51.1080816,17.0226500,4253
51.1080350,17.0224200,5859
51.1080016,17.0221549,0
51.1080116,17.0219900,0
51.1080100,17.0219300,0
51.1080033,17.0218716,7294
51.1080133,17.0217316,4277
51.1080683,17.0215166,1163
51.1081216,17.0212600,0
51.1082100,17.0210083,0
51.1082933,17.0207666,1087
51.1083883,17.0205099,0
51.1084833,17.0202616,0
51.1085783,17.0200766,0
51.1086783,17.0199016,0
51.1087583,17.0198016,0
51.1087733,17.0197283,0
51.1087616,17.0195916,0
51.1087633,17.0193766,0
51.1087633,17.0191266,0
51.1087983,17.0188266,0
51.1088466,17.0184949,0
51.1088950,17.0181750,3330
51.1089533,17.0178833,0
51.1090150,17.0176033,0
51.1090600,17.0173350,5130
51.1091083,17.0170483,501
51.1091616,17.0167433,0
51.1092216,17.0164266,0
51.1092783,17.0161133,0
51.1093333,17.0157900,0
51.1093833,17.0154333,0
51.1094433,17.0150966,0
51.1095050,17.0147533,0
51.1095800,17.0144016,0
51.1096416,17.0140766,0
51.1096950,17.0137466,0
51.1097516,17.0134200,953
51.1098100,17.0130866,0
51.1098616,17.0127450,1950
51.1099216,17.0124183,916
51.1099916,17.0120866,0
51.1100550,17.0117433,0
51.1101033,17.0114050,0
51.1101516,17.0110616,0
51.1102333,17.0106216,0
51.1102816,17.0103083,0
51.1103283,17.0099916,0
51.1103800,17.0096800,0
51.1104400,17.0093716,0
51.1104983,17.0090583,1020
51.1105466,17.0087416,0
51.1106100,17.0084200,0
51.1106716,17.0080966,0
51.1107333,17.0077733,0
51.1107966,17.0074383,0
51.1108516,17.0071100,0
51.1109233,17.0068083,938
51.1109766,17.0065333,0
51.1110283,17.0062699,0
51.1110716,17.0060333,0
51.1111100,17.0057883,2286
51.1111683,17.0054966,2290
51.1112233,17.0052083,0
51.1112666,17.0049183,0
51.1113050,17.0046266,0
51.1113633,17.0043333,0
51.1114283,17.0040683,0
51.1114816,17.0038000,933
51.1115316,17.0035416,928
51.1115750,17.0033083,0
51.1116166,17.0031583,2752
51.1116983,17.0032200,0
51.1118016,17.0032883,3083
51.1118883,17.0033616,944
51.1119683,17.0034300,0
51.1120466,17.0034850,2661
51.1121650,17.0035000,1524
51.1122766,17.0035600,0
