latitude,longitude,shock
51.1097183,17.0300716,3292
51.1097233,17.0299450,7383
51.1097483,17.0297933,5590
51.1097766,17.0296600,4079
51.1097933,17.0295033,9180
51.1097716,17.0293416,6301
51.1097300,17.0291933,6847
51.1097250,17.0290733,4660
51.1101200,17.0277283,6913
51.1101933,17.0275750,7728
51.1073383,17.0252083,7243
51.1083750,17.0230733,3805
51.1095966,17.0229050,6566
51.1097116,17.0229116,3768
51.1097950,17.0228883,3437
51.1104216,17.0227366,6907
51.1104916,17.0227533,3656
51.1105500,17.0227550,4860
51.1106200,17.0227716,14278
51.1107566,17.0225133,9325
51.1101866,17.0227533,8084
51.1100283,17.0228316,4035
51.1084583,17.0225949,5059
51.1082766,17.0226616,3492
51.1080133,17.0229650,3818
51.1076416,17.0236683,4050
51.1070666,17.0246550,8378
51.1059733,17.0273433,3148
51.1057183,17.0279083,3071
51.1055800,17.0281966,3324
51.1044016,17.0310450,7638
51.1044316,17.0312700,5583
51.1044250,17.0332816,4011
51.1042683,17.0347033,6670
51.1044316,17.0363750,3550
51.1047183,17.0371266,3691
51.1048233,17.0373066,10075
51.1051550,17.0378683,4700
51.1056133,17.0394633,3471
51.1068566,17.0440199,5874
51.1069750,17.0444750,3115
51.1073833,17.0467983,6245
51.1073666,17.0471150,4724
51.1073250,17.0474266,5922
51.1074816,17.0487133,3076
51.1080166,17.0492616,4169
51.1081900,17.0494516,6132
51.1083333,17.0500000,8617
51.1083900,17.0501983,6507
51.1087316,17.0505433,3460
51.1090266,17.0510266,3091
51.1092183,17.0517699,6450
51.1094200,17.0525783,5024
51.1094416,17.0535966,3219
51.1086866,17.0541733,5159
51.1085233,17.0543166,3362
51.1083650,17.0544650,3787
51.1081866,17.0546100,8728
51.1080100,17.0547550,3650
51.1078516,17.0549516,8403
51.1075783,17.0553566,8650
51.1071416,17.0564283,8100
51.1070716,17.0567316,4135
51.1069066,17.0580666,6393
51.1069283,17.0586750,4404
51.1069466,17.0589850,3621
51.1069466,17.0592783,3139
51.1069566,17.0601216,3815
51.1069683,17.0604283,7206
51.1069333,17.0613683,6938
51.1068866,17.0616766,7399
51.1068633,17.0619550,6152
51.1068516,17.0622250,3093
51.1068283,17.0624700,8906
51.1068033,17.0627166,5618
51.1067433,17.0631683,7816
51.1067566,17.0647000,6237
51.1067400,17.0649749,6448
51.1067350,17.0652533,5022
51.1067933,17.0658899,4107
51.1068366,17.0661733,3560
51.1069800,17.0667933,3193
51.1070866,17.0670800,5721
51.1072383,17.0675216,4715
51.1078066,17.0705583,5158
51.1075183,17.0715416,8306
51.1071283,17.0726383,3009
51.1066149,17.0737416,3017
51.1064116,17.0743600,4014
51.1061983,17.0749649,3700
51.1055750,17.0767350,7175
51.1053783,17.0772916,4320
51.1043933,17.0802416,3912
51.1038033,17.0809733,3381
51.1043533,17.0806400,3949
51.1044983,17.0806716,6813
51.1045400,17.0849133,5892
51.1048733,17.0858816,3370
51.1052566,17.0860733,8505
51.1058616,17.0863566,6321
51.1060583,17.0864500,5373
51.1062766,17.0925933,6289
51.1085000,17.0944550,6523
51.1087533,17.0943783,3182
51.1095300,17.0941000,4223
51.1103066,17.0934883,5444
51.1109350,17.0931616,5543
51.1110400,17.0930650,3399
51.1114066,17.0927250,4706
51.1115783,17.0925050,4443
51.1116983,17.0923433,7211
51.1128050,17.0920250,5018
51.1129516,17.0920783,4555
51.1133133,17.0909133,12976
51.1132766,17.0907100,10279
51.1128116,17.0879450,3065
51.1124933,17.0856966,8649
51.1126366,17.0855333,4303
51.1132766,17.0853900,4811
51.1142300,17.0838416,5024
51.1139233,17.0825333,7011
51.1138650,17.0823366,3526
51.1139416,17.0794500,5014
51.1139600,17.0792616,5952
51.1139866,17.0788066,5590
51.1139883,17.0786416,3370
51.1139933,17.0784633,3841
51.1140033,17.0783083,3035
51.1146499,17.0718283,3405
51.1144350,17.0708583,5782
51.1126333,17.0647083,3714
51.1125850,17.0645450,4178
51.1124400,17.0635166,4249
51.1120400,17.0614500,4379
51.1120200,17.0611199,4807
51.1086483,17.0944616,3938
51.1076883,17.0977666,5368
51.1075133,17.0987483,3590
51.1080383,17.0993066,4214
51.1083966,17.0990266,10250
51.1087733,17.0988033,4495
51.1094050,17.0992350,4975
51.1094833,17.0992733,3675
51.1097016,17.1000700,3749
51.1096533,17.1007216,3537
51.1098033,17.1030416,3124
51.1095033,17.1051800,3693
51.1094783,17.1055550,3034
51.1089816,17.1073433,3016
51.1080316,17.1068483,6657
51.1078016,17.1067500,3062
51.1077033,17.1066250,6811
51.1076000,17.1064950,3362
51.1075050,17.1063616,3892
51.1074116,17.1062233,4208
51.1073333,17.1060883,8594
51.1072366,17.1059800,6676
51.1067000,17.1049466,3981
51.1065366,17.1045433,3019
51.1064850,17.1043116,5269
51.1064083,17.1042066,4713
51.1068850,17.0912433,5801
51.1077350,17.0912016,4794
51.1079933,17.0912350,3306
51.1081133,17.0912366,7025
51.1083616,17.0912700,3132
51.1090116,17.0912933,3490
51.1095666,17.0912816,6039
51.1098700,17.0912816,3508
51.1104050,17.0912700,4023
51.1106566,17.0913083,3173
51.1107900,17.0912999,3280
51.1115716,17.0919950,3391
51.1112383,17.0925550,3746
51.1110833,17.0927700,4953
51.1106983,17.0933083,4160
51.1104200,17.0937550,8598
51.1104616,17.0936483,3792
51.1090100,17.0959166,3156
51.1093083,17.0973083,3783
51.1096450,17.1001166,4805
51.1097416,17.1004950,3643
51.1097583,17.1011200,7210
51.1097966,17.1013216,5368
51.1098483,17.1015366,5979
51.1098033,17.1036050,3287
51.1095150,17.1042683,4810
51.1094683,17.1044366,5562
51.1092666,17.1053516,4568
51.1089200,17.1062183,4917
51.1079083,17.1066816,6590
51.1078266,17.1066833,6561
51.1077300,17.1066016,5388
51.1076150,17.1065283,8615
51.1074900,17.1064450,3299
51.1073416,17.1063516,6461
51.1072216,17.1062533,6929
51.1070433,17.1061300,9348
51.1069050,17.1060250,4283
51.1067933,17.1059200,3267
51.1062766,17.0930133,3879
51.1085366,17.0943483,3843
51.1129533,17.0025616,9356
51.1117016,17.0095916,3462
51.1116166,17.0101633,3813
51.1081733,17.0218650,4193
51.1082233,17.0220416,4029
51.1082933,17.0224233,8886
51.1082583,17.0226216,8087
51.1079200,17.0234566,4037
51.1073600,17.0246233,6889
51.1072633,17.0247500,6543
51.1070450,17.0249783,6333
51.1067500,17.0259333,4163
51.1063233,17.0270133,3649
51.1043083,17.0309033,4187
51.1044433,17.0317883,3883
51.1044533,17.0320866,3609
51.1044316,17.0323783,4589
51.1043666,17.0330000,5314
51.1042333,17.0342733,3244
51.1042300,17.0350749,4050
51.1043666,17.0366450,4099
51.1049200,17.0373750,9766
51.1051983,17.0376933,4379
51.1053583,17.0388366,7573
51.1070683,17.0426950,3366
51.1070050,17.0439733,3209
51.1069950,17.0440350,4723
51.1070216,17.0448750,4771
51.1072933,17.0467700,4173
51.1072483,17.0471333,10342
51.1072283,17.0475350,4536
51.1073416,17.0486650,7566
51.1076066,17.0489616,9064
51.1082600,17.0496366,6818
51.1083533,17.0499216,7329
51.1084266,17.0501466,6817
51.1087250,17.0505683,5602
51.1092950,17.0520833,3400
51.1093350,17.0538033,4571
51.1090933,17.0539733,3280
51.1088033,17.0542316,4802
51.1086300,17.0544050,3021
51.1080066,17.0549183,3181
51.1078433,17.0551416,9030
51.1076866,17.0553500,6856
51.1075400,17.0555750,6447
51.1074416,17.0558600,5380
51.1073483,17.0561366,3550
51.1072500,17.0565416,3161
51.1071133,17.0571350,6550
51.1070683,17.0574833,3565
51.1070616,17.0578016,4587
51.1071250,17.0589866,5258
51.1071133,17.0595350,3371
51.1071200,17.0598200,5657
51.1071200,17.0601300,4554
51.1071100,17.0618083,3660
51.1071166,17.0620983,6021
51.1070766,17.0627783,5198
51.1070433,17.0630400,7179
51.1069983,17.0633133,3292
51.1069716,17.0645366,3514
51.1069666,17.0648533,3494
51.1069616,17.0651733,5977
51.1069566,17.0654800,4754
51.1070683,17.0666000,4783
51.1072366,17.0672716,5468
51.1073400,17.0675066,3499
51.1074533,17.0677550,9393
51.1076950,17.0720883,5838
51.1070666,17.0732516,3334
51.1058133,17.0763516,3062
51.1057350,17.0766666,4697
51.1049466,17.0796916,3230
51.1046783,17.0805849,3315
51.1046266,17.0808566,3346
51.1042250,17.0834216,4206
51.1041850,17.0836316,3517
51.1047333,17.0855750,3268
51.1048050,17.0858350,3332
51.1049316,17.0859483,3588
51.1050983,17.0860433,5661
51.1052616,17.0861350,10182
51.1055216,17.0863183,4904
51.1062366,17.0905766,3263
51.1063066,17.0924550,7079
51.1073050,17.0931200,3514
51.1084233,17.0944033,6847
